name,country,population
"Abu Dhabi","United Arab Emirates","1483000"
"Abuja","Nigeria","1568853"
"Accra","Ghana","2388000"
"Addis Ababa","Ethiopia","3041002"
"Aden","Yemen","507355"
"Algiers","Algeria","3415811"
"Amman","Jordan","4007526"
"Amsterdam","Kingdom of the Netherlands","860124"
"Andorra la Vella","Andorra","22151"
"Ankara","Turkey","5747325"
"Antananarivo","Madagascar","2610000"
"Apia","Samoa","37708"
"Ashgabat","Turkmenistan","828100"
"Asmara","Eritrea","963000"
"Asunción","Paraguay","524190"
"Athens","Greece","664046"
"Baghdad","Iraq","8126755"
"Baku","Azerbaijan","2300500"
"Bamako","Mali","2009109"
"Bandar Seri Begawan","Brunei","50000"
"Bangkok","Thailand","5676648"
"Bangui","Central African Republic","889231"
"Banjul","The Gambia","31356"
"Basseterre","Saint Kitts and Nevis","13220"
"Beijing","People's Republic of China","21893095"
"Beirut","Lebanon","361366"
"Belgrade","Serbia","1378682"
"Belmopan","Belize","17222"
"Berlin","Germany","3664088"
"Bern","Switzerland","133883"
"Bern","Switzerland","133791"
"Bishkek","Kyrgyzstan","1053900"
"Bissau","Guinea-Bissau","492004"
"Bloemfontein","South Africa","256185"
"Bogotá","Colombia","7743955"
"Brasília","Brazil","3015268"
"Bratislava","Slovakia","475503"
"Brazzaville","Republic of the Congo","1827000"
"Bridgetown","Barbados","110000"
"Brussels","Belgium","185103"
"Bucharest","Romania","1883425"
"Budapest","Hungary","1723836"
"Buenos Aires","Argentina","3063728"
"Cairo","Egypt","9513330"
"Canberra","Australia","381488"
"Cape Town","South Africa","433688"
"Caracas","Venezuela","2245744"
"Castries","Saint Lucia","70000"
"Chișinău","Moldova","639000"
"Colombo","Sri Lanka","752993"
"Conakry","Guinea","1667864"
"Copenhagen","Kingdom of Denmark","644431"
"Dakar","Senegal","1438725"
"Damascus","Syria","1754000"
"Dhaka","Bangladesh","16800000"
"Dili","East Timor","222323"
"Djibouti","Djibouti","603900"
"Dodoma","Tanzania","213636"
"Doha","Qatar","1186023"
"Dublin","Republic of Ireland","553165"
"Dushanbe","Tajikistan","863400"
"Freetown","Sierra Leone","1055964"
"Funafuti","Tuvalu","6025"
"Gaborone","Botswana","246325"
"Georgetown","Guyana","200500"
"Gitega","Burundi","135467"
"Guatemala City","Guatemala","2934841"
"Hanoi","Vietnam","8246600"
"Harare","Zimbabwe","2150000"
"Havana","Cuba","2141652"
"Helsinki","Finland","643272"
"Honiara","Solomon Islands","84520"
"Islamabad","Pakistan","1014825"
"Jakarta","Indonesia","10562088"
"Jerusalem","Israel","919438"
"Jerusalem","State of Palestine","919438"
"Juba","South Sudan","525953"
"Kabul","Afghanistan","4273156"
"Kampala","Uganda","1680600"
"Kathmandu","Nepal","845767"
"Khartoum","Sudan","5345000"
"Kigali","Rwanda","1156663"
"Kingston","Jamaica","580000"
"Kinshasa","Democratic Republic of the Congo","11855000"
"Kuala Lumpur","Malaysia","1982100"
"Kuwait City","Kuwait","2989000"
"Kyiv","Ukraine","2963199"
"La Paz","Bolivia","2867504"
"Libreville","Gabon","797003"
"Lilongwe","Malawi","989318"
"Lima","Peru","9674755"
"Lisbon","Portugal","545923"
"Ljubljana","Slovenia","286745"
"Lobamba","Eswatini","5800"
"Lomé","Togo","837437"
"London","United Kingdom","8908081"
"Luanda","Angola","2487444"
"Lusaka","Zambia","2467563"
"Luxembourg","Luxembourg","128512"
"Madrid","Spain","3305408"
"Majuro","Marshall Islands","30000"
"Malabo","Equatorial Guinea","187302"
"Malé","Maldives","133019"
"Managua","Nicaragua","937.489"
"Manama","Bahrain","157474"
"Manila","Philippines","1846513"
"Maputo","Mozambique","1191613"
"Maseru","Lesotho","519186"
"Mbabane","Eswatini","60691"
"Mexico City","Mexico","8918653"
"Minsk","Belarus","1996553"
"Mogadishu","Somalia","2120000"
"Monrovia","Liberia","1021762"
"Montevideo","Uruguay","1319108"
"Moroni","Comoros","111329"
"Moscow","Russia","12655050"
"Muscat","Oman","1421409"
"N'Djamena","Chad","1092066"
"Nairobi","Kenya","5545000"
"Nassau","The Bahamas","274400"
"Naypyidaw","Myanmar","1160242"
"New Delhi","India","249998"
"Niamey","Niger","1026848"
"Nicosia","Cyprus","330000"
"Nouakchott","Mauritania","1315000"
"Nuku'alofa","Tonga","23221"
"Nur-Sultan","Kazakhstan","1078362"
"Oslo","Norway","693494"
"Ottawa","Canada","934243"
"Ouagadougou","Burkina Faso","2453496"
"Panama City","Panama","880691"
"Paramaribo","Suriname","223757"
"Paris","France","2165423"
"Phnom Penh","Cambodia","2129371"
"Podgorica","Montenegro","174515"
"Port Louis","Mauritius","149194"
"Port Moresby","Papua New Guinea","317374"
"Port Vila","Vanuatu","51437"
"Port-au-Prince","Haiti","987310"
"Porto-Novo","Benin","264320"
"Prague","Czech Republic","1275406"
"Praia","Cape Verde","159050"
"Pretoria","South Africa","741651"
"Pyongyang","North Korea","2863000"
"Quito","Ecuador","2011388"
"Rabat","Morocco","572717"
"Ramallah","State of Palestine","38998"
"Reykjavík","Iceland","128793"
"Riga","Latvia","614618"
"Riyadh","Saudi Arabia","7676655"
"Rome","Italy","2872800"
"Roseau","Dominica","14725"
"Saint John's","Antigua and Barbuda","22219"
"San José","Costa Rica","288054"
"San Marino","San Marino","4040"
"San Salvador","El Salvador","316.09"
"Sanaa","Yemen","2957000"
"Santiago","Chile","6257516"
"Santo Domingo","Dominican Republic","1128678"
"Sarajevo","Bosnia and Herzegovina","275524"
"Seoul","South Korea","9668465"
"Singapore","Singapore","5866139"
"Skopje","North Macedonia","526502"
"Sofia","Bulgaria","1379874"
"Sofia","Bulgaria","1276909"
"South Tarawa","Kiribati","63439"
"Sri Jayawardenepura Kotte","Sri Lanka","115826"
"St. George's","Grenada","4315"
"Stockholm","Sweden","978770"
"Sucre","Bolivia","360544"
"Suva","Fiji","88271"
"São Tomé","São Tomé and Príncipe","71868"
"Taipei","Taiwan","2603150"
"Tallinn","Estonia","438341"
"Tashkent","Uzbekistan","2571668"
"Tbilisi","Georgia","1202731"
"Tegucigalpa","Honduras","1682725"
"Tehran","Iran","8693706"
"Thimphu","Bhutan","104000"
"Tirana","Albania","418495"
"Tokyo","Japan","14047594"
"Tripoli","Libya","1126000"
"Tunis","Tunisia","1056247"
"Tunis","Tunisia","638845"
"Ulaanbaatar","Mongolia","1515593"
"Vaduz","Liechtenstein","5668"
"Valletta","Malta","6444"
"Victoria","Seychelles","26450"
"Vienna","Austria","1911191"
"Vientiane","Laos","948487"
"Vilnius","Lithuania","552787"
"Warsaw","Poland","1790658"
"Washington, D.C.","United States of America","689545"
"Wellington","New Zealand","215100"
"Windhoek","Namibia","322500"
"Yamoussoukro","Ivory Coast","355573"
"Yaoundé","Cameroon","2440462"
"Yaren District","Nauru","747"
"Yerevan","Armenia","1075800"
"Zagreb","Croatia","809268"
