name,capital,continent,currency,population
"Afghanistan","Kabul","Asia","Afghan afghani","37466414"
"Albania","Tirana","Europe","Albanian lek","2793592"
"Algeria","Algiers","Africa","Algerian dinar","43900000"
"Andorra","Andorra la Vella","Europe","euro","78151"
"Angola","Luanda","Africa","kwanza","32866270"
"Antigua and Barbuda","Saint John's","North America","Eastern Caribbean dollar","99337"
"Argentina","Buenos Aires","South America","Argentine peso","47327407"
"Armenia","Yerevan","Asia","Armenian dram","2930450"
"Australia","Canberra","Insular Oceania","Australian dollar","25671900"
"Austria","Vienna","Europe","euro","8979894"
"Azerbaijan","Baku","Asia","Azerbaijani manat","10127874"
"Azerbaijan","Baku","Europe","Azerbaijani manat","10127874"
"Bahrain","Manama","Asia","Bahraini dinar","1492584"
"Bangladesh","Dhaka","Asia","Bangladeshi taka","165775000"
"Barbados","Bridgetown","North America","Barbadian dollar","285719"
"Belarus","Minsk","Europe","Belarusian ruble","9255524"
"Belgium","Brussels","Europe","euro","11584008"
"Belize","Belmopan","North America","Belize dollar","374681"
"Benin","Porto-Novo","Africa","West African CFA franc","11175692"
"Bhutan","Thimphu","Asia","ngultrum","807610"
"Bolivia","Sucre","South America","boliviano","11051600"
"Bolivia","La Paz","South America","boliviano","11051600"
"Bosnia and Herzegovina","Sarajevo","Europe","convertible mark","3507017"
"Botswana","Gaborone","Africa","Botswana pula","2291661"
"Brazil","Brasília","South America","Brazilian real","213317639"
"Brunei","Bandar Seri Begawan","Asia","Brunei dollar","428697"
"Bulgaria","Sofia","Europe","Bulgarian lev","6520000"
"Burkina Faso","Ouagadougou","Africa","West African CFA franc","20903278"
"Burundi","Gitega","Africa","Burundian franc","11530580"
"Cambodia","Phnom Penh","Asia","riel","16005373"
"Cameroon","Yaoundé","Africa","Central African CFA franc","24053727"
"Canada","Ottawa","North America","Canadian dollar","36991981"
"Cape Verde","Praia","Africa","Cape Verdean escudo","555988"
"Central African Republic","Bangui","Africa","Central African CFA franc","4659080"
"Chad","N'Djamena","Africa","Central African CFA franc","15477751"
"Chile","Santiago","South America","Chilean peso","19458000"
"Colombia","Bogotá","South America","Colombian peso","49065615"
"Comoros","Moroni","Africa","Comorian franc","902348"
"Costa Rica","San José","North America","Costa Rican colón","5213362"
"Croatia","Zagreb","Europe","Euro","4105493"
"Cuba","Havana","North America","convertible peso","11181595"
"Cuba","Havana","North America","Cuban peso","11181595"
"Cyprus","Nicosia","Asia","euro","1141166"
"Cyprus","Nicosia","Europe","euro","1141166"
"Czech Republic","Prague","Europe","Czech koruna","10516707"
"Democratic Republic of the Congo","Kinshasa","Africa","Congolese franc","91931000"
"Democratic Republic of the Congo","Kinshasa","Africa","Congolese franc","86790567"
"Djibouti","Djibouti","Africa","Djiboutian franc","956985"
"Dominica","Roseau","North America","Eastern Caribbean dollar","73925"
"Dominican Republic","Santo Domingo","North America","Dominican peso","10403761"
"East Timor","Dili","Asia","United States dollar","1296311"
"East Timor","Dili","Asia","East Timor centavo coins","1296311"
"Ecuador","Quito","South America","United States dollar","18000062"
"Egypt","Cairo","Asia","Egyptian pound","94798827"
"Egypt","Cairo","Africa","Egyptian pound","94798827"
"El Salvador","San Salvador","North America","United States dollar","6427479"
"El Salvador","San Salvador","North America","bitcoin","6427479"
"Equatorial Guinea","Malabo","Africa","Central African CFA franc","1267689"
"Eritrea","Asmara","Africa","nakfa","3497000"
"Estonia","Tallinn","Europe","euro","1331796"
"Eswatini","Lobamba","Africa","lilangeni","1160164"
